date,season,ldh_region,region_name,ed_visits,source_updated
2023-07-20,2023,2,Capital Region,4,9/3/2026
2023-07-20,2023,3,South Central,5,9/3/2026
2023-07-20,2023,9,Northshore,13,9/3/2026
2023-07-21,2023,1,Southeast,12,9/3/2026
2023-07-21,2023,2,Capital Region,6,9/3/2026
2023-07-21,2023,3,South Central,13,9/3/2026
2023-07-21,2023,9,Northshore,11,9/3/2026
2023-07-22,2023,1,Southeast,6,9/3/2026
2023-07-22,2023,2,Capital Region,8,9/3/2026
2023-07-22,2023,3,South Central,8,9/3/2026
2023-07-22,2023,9,Northshore,12,9/3/2026
2023-07-23,2023,1,Southeast,5,9/3/2026
2023-07-23,2023,2,Capital Region,1,9/3/2026
2023-07-23,2023,3,South Central,3,9/3/2026
2023-07-23,2023,9,Northshore,6,9/3/2026
2023-07-24,2023,1,Southeast,5,9/3/2026
2023-07-24,2023,2,Capital Region,2,9/3/2026
2023-07-24,2023,3,South Central,2,9/3/2026
2023-07-24,2023,9,Northshore,3,9/3/2026
2023-07-25,2023,1,Southeast,10,9/3/2026
2023-07-25,2023,2,Capital Region,2,9/3/2026
2023-07-25,2023,3,South Central,2,9/3/2026
2023-07-25,2023,9,Northshore,9,9/3/2026
2023-07-26,2023,1,Southeast,5,9/3/2026
2023-07-26,2023,2,Capital Region,2,9/3/2026
2023-07-26,2023,3,South Central,2,9/3/2026
2023-07-26,2023,9,Northshore,11,9/3/2026
2023-07-27,2023,1,Southeast,10,9/3/2026
2023-07-27,2023,2,Capital Region,3,9/3/2026
2023-07-27,2023,3,South Central,2,9/3/2026
2023-07-27,2023,9,Northshore,10,9/3/2026
2023-07-28,2023,1,Southeast,11,9/3/2026
2023-07-28,2023,2,Capital Region,2,9/3/2026
2023-07-28,2023,3,South Central,1,9/3/2026
2023-07-28,2023,9,Northshore,9,9/3/2026
2023-07-29,2023,1,Southeast,10,9/3/2026
2023-07-29,2023,2,Capital Region,9,9/3/2026
2023-07-29,2023,3,South Central,2,9/3/2026
2023-07-29,2023,9,Northshore,6,9/3/2026
2023-07-30,2023,1,Southeast,4,9/3/2026
2023-07-30,2023,2,Capital Region,6,9/3/2026
2023-07-30,2023,3,South Central,6,9/3/2026
2023-07-30,2023,9,Northshore,5,9/3/2026
2023-07-31,2023,1,Southeast,12,9/3/2026
2023-07-31,2023,2,Capital Region,5,9/3/2026
2023-07-31,2023,3,South Central,8,9/3/2026
2023-07-31,2023,9,Northshore,14,9/3/2026
2023-08-01,2023,1,Southeast,13,9/3/2026
2023-08-01,2023,2,Capital Region,4,9/3/2026
2023-08-01,2023,3,South Central,4,9/3/2026
2023-08-01,2023,9,Northshore,9,9/3/2026
2023-08-02,2023,1,Southeast,16,9/3/2026
2023-08-02,2023,2,Capital Region,6,9/3/2026
2023-08-02,2023,3,South Central,6,9/3/2026
2023-08-02,2023,9,Northshore,2,9/3/2026
2023-08-03,2023,1,Southeast,13,9/3/2026
2023-08-03,2023,2,Capital Region,5,9/3/2026
2023-08-03,2023,3,South Central,11,9/3/2026
2023-08-03,2023,9,Northshore,9,9/3/2026
2023-08-04,2023,1,Southeast,13,9/3/2026
2023-08-04,2023,2,Capital Region,9,9/3/2026
2023-08-04,2023,3,South Central,8,9/3/2026
2023-08-04,2023,9,Northshore,12,9/3/2026
2023-08-05,2023,1,Southeast,21,9/3/2026
2023-08-05,2023,2,Capital Region,8,9/3/2026
2023-08-05,2023,3,South Central,6,9/3/2026
2023-08-05,2023,9,Northshore,18,9/3/2026
2023-08-06,2023,1,Southeast,9,9/3/2026
2023-08-06,2023,2,Capital Region,5,9/3/2026
2023-08-06,2023,3,South Central,3,9/3/2026
2023-08-06,2023,9,Northshore,10,9/3/2026
2023-08-07,2023,1,Southeast,19,9/3/2026
2023-08-07,2023,2,Capital Region,9,9/3/2026
2023-08-07,2023,3,South Central,7,9/3/2026
2023-08-07,2023,9,Northshore,11,9/3/2026
2023-08-08,2023,1,Southeast,15,9/3/2026
2023-08-08,2023,2,Capital Region,2,9/3/2026
2023-08-08,2023,3,South Central,7,9/3/2026
2023-08-08,2023,9,Northshore,11,9/3/2026
2023-08-09,2023,1,Southeast,11,9/3/2026
2023-08-09,2023,2,Capital Region,5,9/3/2026
2023-08-09,2023,3,South Central,8,9/3/2026
2023-08-09,2023,9,Northshore,13,9/3/2026
2023-08-10,2023,1,Southeast,17,9/3/2026
2023-08-10,2023,2,Capital Region,6,9/3/2026
2023-08-10,2023,3,South Central,6,9/3/2026
2023-08-10,2023,9,Northshore,15,9/3/2026
2023-08-11,2023,1,Southeast,15,9/3/2026
2023-08-11,2023,2,Capital Region,2,9/3/2026
2023-08-11,2023,3,South Central,5,9/3/2026
2023-08-11,2023,9,Northshore,18,9/3/2026
